affected_entity_1_sub	affected_entity_1_super	affected_entity_2_sub	affected_entity_2_super	defined_class	pato_id
ZFA:0009077	ZFA:0000445	GO:0005773	ZFA:0009077	ZP:0130988	PATO:0002002
ZFA:0009248	ZFA:0000445	ZFA:0009077	ZFA:0000445	ZP:0130991	PATO:0001505
ZFA:0005242	ZFA:0000151	GO:0005929	ZFA:0005242	ZP:0131042	PATO:0002000
ZFA:0009000	ZFA:0001616	GO:0042995	ZFA:0009000	ZP:0131093	PATO:0002001
BSPO:0000074	ZFA:0005912	GO:0042995	ZFA:0005912	ZP:0137513	PATO:0001999
ZFA:0005242	ZFA:0000150	GO:0036064	ZFA:0005242	ZP:0137525	PATO:0001905
ZFA:0005242	ZFA:0000150	GO:0005929	ZFA:0005242	ZP:0137526	PATO:0002001
GO:0044297	ZFA:0005731	GO:0030424	ZFA:0005731	ZP:0137677	PATO:0000133
ZFA:0009114	ZFA:0001056	GO:0005604	ZFA:0001056	ZP:0137794	PATO:0001453
GO:0097386	ZFA:0009280	GO:0097386	ZFA:0009280	ZP:0137885	PATO:0001590
GO:0000793	ZFA:0001114	GO:1990498	ZFA:0001114	ZP:0137927	PATO:0001654
ZFA:0009306	ZFA:0000050	ZFA:0001643	ZFA:0005567	ZP:0138477	PATO:0002168
BSPO:0000057	ZFA:0000110	GO:0005929	ZFA:0000110	ZP:0138498	PATO:0001999
BSPO:0000057	ZFA:0001261	GO:0000930	ZFA:0001261	ZP:0138500	PATO:0001999
BSPO:0000057	ZFA:0001261	GO:0005815	ZFA:0001261	ZP:0138501	PATO:0002001
BSPO:0000057	ZFA:0001261	GO:0005874	ZFA:0001261	ZP:0138502	PATO:0002001
BSPO:0000057	ZFA:0000112	GO:0000930	ZFA:0000112	ZP:0138510	PATO:0001999
BSPO:0000057	ZFA:0000112	GO:0005874	ZFA:0000112	ZP:0138512	PATO:0002001
GO:0030424	ZFA:0000075	GO:0043209	ZFA:0000075	ZP:0138591	PATO:0002001
GO:0043209	ZFA:0000075	GO:0043025	ZFA:0000075	ZP:0138594	PATO:0001772
ZFA:0009076	ZFA:0000075	GO:0043209	ZFA:0009076	ZP:0138596	PATO:0001905
GO:0043209	ZFA:0000075	GO:0030424	ZFA:0000075	ZP:0138598	PATO:0001772
GO:0098681	ZFA:0009154	GO:0098684	ZFA:0009154	ZP:0138658	PATO:0001505
GO:0043292	ZFA:0005277	GO:0005927	ZFA:0005277	ZP:0139796	PATO:0001453
GO:0000785	ZFA:0009316	GO:0031965	ZFA:0009316	ZP:0139938	PATO:0002261
GO:0042383	ZFA:0005277	GO:0098723	ZFA:0005277	ZP:0139965	PATO:0000374
GO:0005927	ZFA:0009115	GO:0098723	ZFA:0009115	ZP:0140078	PATO:0001738
BSPO:0000077	ZFA:0000151	GO:0036064	ZFA:0009035	ZP:0140670	PATO:0002001
BSPO:0000078	ZFA:0000151	GO:0036064	ZFA:0009035	ZP:0140671	PATO:0002001
GO:0031941	ZFA:0000093	GO:0005829	ZFA:0000093	ZP:0140880	PATO:0002270
ZFA:0009183	ZFA:0001058	GO:0031941	ZFA:0009183	ZP:0140923	PATO:0002270
GO:0035749	ZFA:0000944	GO:0030424	ZFA:0000944	ZP:0141428	PATO:0001505
GO:0044297	ZFA:0009280	ZFA:0001330	ZFA:0005147	ZP:0141494	PATO:0002168
ZFA:0009290	ZFA:0000008	ZFA:0009276	ZFA:0000008	ZP:0141834	PATO:0040043
GO:0043209	ZFA:0000075	ZFA:0009140	ZFA:0000075	ZP:0142186	PATO:0002261
ZFA:0009065	ZFA:0001320	ZFA:0009065	ZFA:0001320	ZP:0142428	PATO:0000375
BSPO:0000127	ZFA:0005046	GO:0030175	ZFA:0005858	ZP:0142595	PATO:0002002
GO:0014701	ZFA:0009115	GO:0014701	ZFA:0009115	ZP:0142624	PATO:0000375
